title,author,year,citation
Pruning Convolutional Neural Networks for Image Instance Retrieval,TOMASO POGGIO,2017,5
When Is Handcrafting Not a Curse?,TOMASO POGGIO,2018,4
Theory II: Deep learning and optimization,TOMASO POGGIO,2018,4
Automated fault detection without seismic processing,TOMASO POGGIO,2017,4
Turing++ questions: A test for the science of (human) intelligence,TOMASO POGGIO,2016,4
Biologically-plausible learning algorithms can scale to large datasets,TOMASO POGGIO,2018,3
Theory of Deep Learning III: explaining the non-overfitting puzzle,TOMASO POGGIO,2017,3
Invariant recognition drives neural representations of action sequences,TOMASO POGGIO,2017,3
Human-like Learning: A Research Proposal,TOMASO POGGIO,2017,3
When and why are deep networks better than shallow ones?,TOMASO POGGIO,2017,3
Learning functions: when is deep better than shallow,TOMASO POGGIO,2016,3
Deep Recurrent Architectures for Seismic Tomography,TOMASO POGGIO,2019,2
Training Neural Networks for Object Recognition Using Blurred Images,TOMASO POGGIO,2019,2
Symmetry-adapted representation learning,TOMASO POGGIO,2019,2
A surprising linear relationship predicts test performance in deep networks,TOMASO POGGIO,2018,2
Deep learning for damaged tissue detection and segmentation in Ki-67 brain tumor specimens based on the U-net model,TOMASO POGGIO,2018,2
Theory II: Landscape of the empirical risk in deep learning,TOMASO POGGIO,2017,2
From Neuron to Cognition via Computational Neuroscience,TOMASO POGGIO,2016,2
Invariant recognition shapes neural representations of visual input,TOMASO POGGIO,2018,1
Do Deep Neural Networks Suffer from Crowding?,TOMASO POGGIO,2018,1
Theory IIIb: Generalization in deep networks,TOMASO POGGIO,2018,1
Nested invariance pooling and RBM hashing for image instance retrieval,TOMASO POGGIO,2017,1
Why and when can deep–but not shallow–networks avoid the curse of dimensionality,TOMASO POGGIO,2016,1
Neural tuning size in a model of primate visual processing accounts for three key markers of holistic face processing,TOMASO POGGIO,2016,1
Production of $\Lambda_ {\mathrm {c}}^{+} $ baryons in proton-proton and lead-lead collisions at ${\sqrt {\smash [b]{s_ {_ {\mathrm {NN}}}}}}= $5.02 TeV,Daniele Bonacorsi,2019,41
 pairs in proton-proton collisions at ,Daniele Bonacorsi,2019,17
 8.16 TeV,Daniele Bonacorsi,2019,15
 13 TeV,Daniele Bonacorsi,2019,11
W,Daniele Bonacorsi,2019,9
 events at ,Daniele Bonacorsi,2019,9
Correlations of azimuthal anisotropy Fourier harmonics in pPb collisions at ${\sqrt {\smash [b]{s_ {_ {\mathrm {NN}}}}}}= $8.16 TeV,Daniele Bonacorsi,2019,9
Search for a light charged Higgs boson decaying to a W boson and a CP-odd Higgs boson in final states with ,Daniele Bonacorsi,2019,9
Search for long-lived particles using nonprompt jets and missing transverse momentum with proton-proton collisions at ,Daniele Bonacorsi,2019,7
Combination of CMS searches for heavy resonances decaying to pairs of bosons or leptons,Daniele Bonacorsi,2019,7
Production of ,Daniele Bonacorsi,2019,6
 baryons in proton-proton and lead-lead collisions at ,Daniele Bonacorsi,2019,6
Measurement of electroweak WZ boson production and search for new physics in WZ+ two jets events in pp collisions at s= 13TeV,Daniele Bonacorsi,2019,6
 pairs in proton-proton collisions at ,Daniele Bonacorsi,2019,6
 13 TeV,Daniele Bonacorsi,2019,6
Search for the aociated production of the Higg boon and a vector boon in proton-proton colliion at $$\qrt {} $$= 13 TeV via Higg boon decay to τ lepton,Daniele Bonacorsi,2019,5
 or ,Daniele Bonacorsi,2019,5
W,Daniele Bonacorsi,2019,4
Search for supersymmetry with a compressed mass spectrum in the vector boson fusion topology with 1-lepton and 0-lepton final states in proton-proton collisions at $\sqrt {s …,Daniele Bonacorsi,2019,4
Search for a standard model-like Higgs boson in the mass range between 70 and 110 GeV in the diphoton final state in proton-proton collisions at s= 8 and 13 TeV,Daniele Bonacorsi,2019,3
 5.02 TeV,Daniele Bonacorsi,2019,3
 13 TeV,Daniele Bonacorsi,2019,3
Search for low-mass quark-antiquark resonances produced in association with a photon at ,Daniele Bonacorsi,2019,3
"A multi-dimensional search for new heavy resonances decaying to boosted WW, WZ, or ZZ boson pairs in the dijet final state at 13 TeV",Daniele Bonacorsi,2019,2
Search for Higgs and Z boson decays to ,Daniele Bonacorsi,2019,2
 or ,Daniele Bonacorsi,2019,2
 13 TeV,Daniele Bonacorsi,2019,1
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state with two muons and two b quarks in pp collisions at 13 TeV,Daniele Bonacorsi,2019,1
Search for the production of four top quarks in the single-lepton and opposite-sign dilepton final states in proton-proton collisions at ,Daniele Bonacorsi,2019,1
Search for dark matter in events with a leptoquark and missing transverse momentum in proton-proton collisions at 13 TeV,Daniele Bonacorsi,2019,1
Search for the production of W,Daniele Bonacorsi,2019,1
 13 TeV,Daniele Bonacorsi,2019,1
Search for vector-like leptons in multilepton final states in proton-proton collisions at ,Daniele Bonacorsi,2019,1
 13 TeV,Daniele Bonacorsi,2019,1
Search for Higgs and Z boson decays to J/,Daniele Bonacorsi,2019,1
 13 TeV,Daniele Bonacorsi,2019,1
Correlations of azimuthal anisotropy Fourier harmonics in pPb collisions at ,Daniele Bonacorsi,2019,1
Production of ,Wolfgang Waltenberger,2019,41
 13 TeV,Wolfgang Waltenberger,2019,17
Search for Higgs and Z boson decays to J/,Wolfgang Waltenberger,2019,11
 events at ,Wolfgang Waltenberger,2019,9
 13 TeV,Wolfgang Waltenberger,2019,9
Correlations of azimuthal anisotropy Fourier harmonics in pPb collisions at ,Wolfgang Waltenberger,2019,9
Measurement of electroweak WZ boson production and search for new physics in WZ+ two jets events in pp collisions at s= 13TeV,Wolfgang Waltenberger,2019,7
 baryons in proton-proton and lead-lead collisions at ,Wolfgang Waltenberger,2019,6
 5.02 TeV,Wolfgang Waltenberger,2019,6
Search for the production of W,Wolfgang Waltenberger,2019,6
 13 TeV,Wolfgang Waltenberger,2019,6
Search for low-mass quark-antiquark resonances produced in association with a photon at ,Wolfgang Waltenberger,2019,6
Search for long-lived particles using nonprompt jets and missing transverse momentum with proton-proton collisions at ,Wolfgang Waltenberger,2019,5
Combination of CMS searches for heavy resonances decaying to pairs of bosons or leptons,Wolfgang Waltenberger,2019,5
 pairs in proton-proton collisions at ,Wolfgang Waltenberger,2019,5
W,Wolfgang Waltenberger,2019,4
Search for vector-like leptons in multilepton final states in proton-proton collisions at ,Wolfgang Waltenberger,2019,4
Search for a standard model-like Higgs boson in the mass range between 70 and 110 GeV in the diphoton final state in proton-proton collisions at s= 8 and 13 TeV,Wolfgang Waltenberger,2019,3
Production of $\Lambda_ {\mathrm {c}}^{+} $ baryons in proton-proton and lead-lead collisions at ${\sqrt {\smash [b]{s_ {_ {\mathrm {NN}}}}}}= $5.02 TeV,Wolfgang Waltenberger,2019,3
Search for the production of four top quarks in the single-lepton and opposite-sign dilepton final states in proton-proton collisions at ,Wolfgang Waltenberger,2019,3
Search for dark matter in events with a leptoquark and missing transverse momentum in proton-proton collisions at 13 TeV,Wolfgang Waltenberger,2019,3
 13 TeV,Wolfgang Waltenberger,2019,3
"A multi-dimensional search for new heavy resonances decaying to boosted WW, WZ, or ZZ boson pairs in the dijet final state at 13 TeV",Wolfgang Waltenberger,2019,2
 or ,Wolfgang Waltenberger,2019,2
 pairs in proton-proton collisions at ,Wolfgang Waltenberger,2019,2
 13 TeV,Wolfgang Waltenberger,2019,1
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state with two muons and two b quarks in pp collisions at 13 TeV,Wolfgang Waltenberger,2019,1
 13 TeV,Wolfgang Waltenberger,2019,1
Search for the aociated production of the Higg boon and a vector boon in proton-proton colliion at $$\qrt {} $$= 13 TeV via Higg boon decay to τ lepton,Wolfgang Waltenberger,2019,1
W,Wolfgang Waltenberger,2019,1
Search for supersymmetry with a compressed mass spectrum in the vector boson fusion topology with 1-lepton and 0-lepton final states in proton-proton collisions at $\sqrt {s …,Wolfgang Waltenberger,2019,1
 13 TeV,Wolfgang Waltenberger,2019,1
Search for Higgs and Z boson decays to ,Wolfgang Waltenberger,2019,1
 or ,Wolfgang Waltenberger,2019,1
Correlations of azimuthal anisotropy Fourier harmonics in pPb collisions at ${\sqrt {\smash [b]{s_ {_ {\mathrm {NN}}}}}}= $8.16 TeV,Wolfgang Waltenberger,2019,1
 8.16 TeV,Wolfgang Waltenberger,2019,1
Inflammatory mediator polymorphisms associate with initial periodontitis in adolescents,Aatos Heikkinen,2016,2073
Search for two Higgs bosons in final states containing two photons and two bottom quarks in proton-proton collisions at 8 TeV,Aatos Heikkinen,2016,1992
Oral health and mortality in patients with chronic kidney disease,Aatos Heikkinen,2016,1222
"INFLAMMATION MARKERS STREM-1, PGLYRP AND SMMP8 IN SALIVA OF KIDNEY TRANSPLANT PATIENTS",Aatos Heikkinen,2017,207
Topic: aMMP-8 Oral Fluid PoC Test,Aatos Heikkinen,2018,165
Charged-particle nuclear modification factors in PbPb and pPb collisions at sqrt (s_NN)= 5.02 TeV,Aatos Heikkinen,2017,160
Measurement of prompt and nonprompt [Formula: see text] production in [Formula: see text] and [Formula: see text] collisions at [Formula: see text].,Aatos Heikkinen,2017,159
Proteolytic mediators in gestational diabetes mellitus and gingivitis,Aatos Heikkinen,2017,145
Periodontal initial radiological findings of genetically predisposed finnish adolescents,Aatos Heikkinen,2017,144
Lichen planus and lichenoid reaction in the etiology of oral cancer. A retrospective study of 323 oral cancer patients.,Aatos Heikkinen,2016,119
Pilot study on the genetic background of an active matrix metalloproteinase‐8 test in finnish adolescents,Aatos Heikkinen,2017,98
Measurement of the Λ b cross section and the Λ-b to Λ b ratio with J/ψΛ decays in pp collisions at s= 7 TeV,Aatos Heikkinen,2017,84
Measurements of differential production cross sections for a Z boson in association with jets in pp collisions at ,Aatos Heikkinen,2017,81
"Active matrix metalloproteinase-8: contributor to periodontitis and a missing link between genetics, dentistry, and medicine",Aatos Heikkinen,2018,79
High percentage of oral lichen planus and lichenoid lesion in oral squamous cell carcinomas,Aatos Heikkinen,2017,47
"Searche for inviible decay of the Higg boon in pp colliion at $$\qrt {} $$= 7, 8, and 13 TeV",Aatos Heikkinen,2017,45
Finnish Dentists Find Smoking Cessation Important but Seldom Offer Practical Support for Their Patients.,Aatos Heikkinen,2017,42
Search for light bosons in decays of the 125 GeV Higgs boson in proton-proton collisions at ,Aatos Heikkinen,2017,30
Climate Change in the Peruvian Andes,Aatos Heikkinen,2017,24
Oral symptoms and oral health-related quality of life in patients with chronic kidney disease from predialysis to posttransplantation,Aatos Heikkinen,2018,20
Oral health in patients with renal disease: a longitudinal study from predialysis to kidney transplantation,Aatos Heikkinen,2018,20
Search for lepton flavour violating decays of the Higgs boson to eτ and eμ in proton–proton collisions at s= 8 TeV,Aatos Heikkinen,2016,19
Activity of rheumatoid arthritis correlates with oral inflammatory burden,Aatos Heikkinen,2018,11
Charged-particle Nuclear Modification Factors In Pbpb And Ppb Collisions At Root S (nn)= 5.02 Tev,Aatos Heikkinen,2017,11
Oral Health and Mortality in Patients With Chronic Kidney Disease,Aatos Heikkinen,2017,11
Salivary Diagnostics,Aatos Heikkinen,2017,11
Autoimmune diseases and oral health: 30-year follow-up of a Swedish cohort,Aatos Heikkinen,2018,10
Climate Change in the Peruvian Andes: A Case Study on Small-Scale Farmers’ Vulnerability in the Quillcay River Basin,Aatos Heikkinen,2017,9
Salivary Diagnostics—Point-of-Care diagnostics of MMP-8 in dentistry and medicine,Aatos Heikkinen,2017,9
Phylogenetic classification of the world’s tropical forests,Aatos Heikkinen,2018,6
Improving the Recording of Diagnoses in Primary Care with Team Incentives: A Controlled Longitudinal Follow-Up Study,Aatos Heikkinen,2018,6
Association of the salivary triggering receptor expressed on myeloid cells/its ligand peptidoglycan recognition protein 1 axis with oral inflammation in kidney disease,Aatos Heikkinen,2018,6
Cross‐sectional analysis of risk factors for subclinical periodontitis; active matrix metalloproteinase‐8 as a potential indicator in initial periodontitis in adolescents,Aatos Heikkinen,2019,5
Measurement of double-differential cross sections for top quark pair production in pp collisions at ,Aatos Heikkinen,2017,5
Born too young and likely to die; should this continue?,Aatos Heikkinen,2019,4
TeV and impact on parton distribution functions,Aatos Heikkinen,2017,4
Hammaslääkärit ja tupakasta vieroitus,Aatos Heikkinen,2017,4
Kansainvälistymisen kehittäminen opiskelussa,Aatos Heikkinen,2017,4
A Competition between Care Teams Improved Recording of Diagnoses in Primary Dental Care: A Longitudinal Follow-Up Study,Aatos Heikkinen,2017,3
Inflammatory biomarkers in saliva and serum of patients with rheumatoid arthritis with respect to periodontal status,Aatos Heikkinen,2018,2
SNP Analysis of Caries and Initial Caries in Finnish Adolescents,Aatos Heikkinen,2018,2
 TeV,Aatos Heikkinen,2017,2
 TeV,Aatos Heikkinen,2017,2
Active Matrix Metalloproteinase-8 Point-of-Care (PoC)/Chairside Mouthrinse Test vs. Bleeding on Probing in Diagnosing Subclinical Periodontitis in Adolescents,Aatos Heikkinen,2019,1
Point-of-Care/Chairside aMMP-8 Analytics of Periodontal Diseases’ Activity and Episodic Progression,Aatos Heikkinen,2018,1
"Anti‐rheumatic medication and salivary MMP‐8, a biomarker for periodontal disease",Aatos Heikkinen,2018,1
"The ability of quantitative, specific, and sensitive point-of-care/chair-side oral fluid immunotests for ammp-8 to detect periodontal and peri-implant diseases",Aatos Heikkinen,2018,1
Search for heavy long-lived charged particles in pp collisions at√ s= 7 TeV,Aatos Heikkinen,2017,1
Periodontitis in early and chronic rheumatoid arthritis: a prospective follow-up study in Finnish population,Aatos Heikkinen,2016,1
ϒ (nS) polarizations versus particle multiplicity in pp collisions at s= 7 TeV,Aatos Heikkinen,2016,1
Measurement of jet charge in dijet events from ,Sara Borroni,2016,960
Evidence for single top-quark production in the s-channel in proton–proton collisions at s= 8TeV with the ATLAS detector using the Matrix Element Method,Sara Borroni,2016,900
Addendum to ‘Measurement of the ,Sara Borroni,2016,701
Topological cell clustering in the ATLAS calorimeters and its performance in LHC Run 1,Sara Borroni,2017,700
A search for prompt lepton-jets in pp collisions at ,Sara Borroni,2016,689
Measurement of the CP-violating phase ,Sara Borroni,2016,657
 TeV with the ATLAS detector,Sara Borroni,2016,595
s = 7 and 8 ,Sara Borroni,2016,449
Measurement of the photon identification efficiencies with the ATLAS detector using LHC Run-1 data,Sara Borroni,2016,331
Dijet production in s= 7 TeVpp collisions with large rapidity gaps at the ATLAS experiment,Sara Borroni,2016,295
 TeV with the ATLAS detector,Sara Borroni,2015,291
Search for new phenomena in final states with an energetic jet and large missing transverse momentum in ,Sara Borroni,2016,261
Measurements of four-lepton production in pp collisions at s= 8 TeV with the ATLAS detector,Sara Borroni,2016,233
"Identification of boosted, hadronically decaying W bosons and comparisons with ATLAS data taken at ",Sara Borroni,2016,206
 TeV with the ATLAS detector,Sara Borroni,2016,197
 collisions with the ATLAS detector,Sara Borroni,2016,189
Measurement of the dependence of transverse energy production at large pseudorapidity on the hard-scattering kinematics of proton–proton collisions at s= 2.76 TeV with ATLAS,Sara Borroni,2016,186
 production cross-section using ,Sara Borroni,2016,174
Measurement of the centrality dependence of the charged-particle pseudorapidity distribution in proton–lead collisions at ,Sara Borroni,2016,163
Search for invisible decays of a Higgs boson using vector-boson fusion in pp collisions at ,Sara Borroni,2015,163
 and 2.76 TeV ,Sara Borroni,2016,153
Reconstruction of hadronic decay products of tau leptons with the ATLAS experiment,Sara Borroni,2016,145
Search for new phenomena in event with at leat three photon collected in pp colliion at $$\qrt {} $$= 8 TeV with the ATLAS detector,Sara Borroni,2016,141
eμ events with b-tagged jets in pp collisions at ,Sara Borroni,2016,129
 ,Sara Borroni,2016,119
 using the ATLAS detector,Sara Borroni,2016,113
"Combination of searches for WW, WZ, and ZZ resonances in pp collisions at s= 8 TeV with the ATLAS detector",Sara Borroni,2016,107
Erratum: Erratum to: Study of the spin and parity of the Higgs boson in diboson decays with the ATLAS detector,Sara Borroni,2016,105
Constraints on non-Standard Model Higgs boson interactions in an effective Lagrangian using differential cross sections measured in the H→ γγ decay channel at s= 8 TeV with …,Sara Borroni,2016,101
Study of the [Formula: see text] and [Formula: see text] decays with the ATLAS detector.,Sara Borroni,2015,95
 using the ATLAS detector,Sara Borroni,2016,94
 Collisions with the ATLAS Detector,Sara Borroni,2016,91
 ,Sara Borroni,2016,90
"Search for an additional, heavy Higgs boson in the H→ ZZH→ ZZ decay channel at s√= 8 TeV s= 8 TeV in pppp collision data with the ATLAS detector",Sara Borroni,2015,80
 TeV,Sara Borroni,2016,78
 using the ATLAS detector,Sara Borroni,2016,76
TeV with the ATLAS …,Sara Borroni,2016,75
Addendum toMeasurement of the tbar {t} production cross-section using emu events with b-tagged jets in pp collisions at &surd;{s}= 7 and 8 TeV with the ATLAS detector',Sara Borroni,2016,75
 collisions at ,Sara Borroni,2016,74
A new method to distinguish hadronically decaying boosted ,Sara Borroni,2016,70
Erratum to: Study of the spin and parity of the Higgs boson in diboson decays with the ATLAS detector,Sara Borroni,2016,70
 → ,Sara Borroni,2016,67
Search for the electroweak production of supersymmetric particles in ,Sara Borroni,2016,66
 and the ,Sara Borroni,2016,65
 bosons from ,Sara Borroni,2016,64
/,Sara Borroni,2016,60
 TeV with the ATLAS detector and limits on anomalous …,Sara Borroni,2016,53
 meson decay width difference with ,Sara Borroni,2016,52
 proton-proton collisions using …,Sara Borroni,2016,52
Hybrid semiclassical theory of quantum quenches in one-dimensional systems,Sara Borroni,2017,51
"Measurement of D⁎±, D±and Ds±meson production cross sections in pp collisions at s= 7 TeV with the ATLAS detector",Sara Borroni,2016,51
 decays in ATLAS,Sara Borroni,2016,50
Performance of pile-up mitigation techniques for jets in $$$$ collisions at $$\sqrt {s}= 8$$ s= 8 TeV using the ATLAS detector,Sara Borroni,2016,49
Precision measurement of time-reversal symmetry violation with laser-cooled polyatomic molecules,Sara Borroni,2017,47
 collisions with the ATLAS detector,Sara Borroni,2016,45
Measurement of the correlation between the polar angles of leptons from top quark decays in the helicity basis at ,Sara Borroni,2016,44
Search for magnetic monopoles and stable particles with high electric charges in 8 TeV ,Sara Borroni,2016,42
Search for the standard model Higgs boson produced in association with a vector boson and decaying into a tau pair in ,Sara Borroni,2016,41
 bosons using the ATLAS detector,Sara Borroni,2016,36
Observation of Long-Range Elliptic Azimuthal Anisotropies in ,Sara Borroni,2016,34
Search for anomalous couplings in the W tb vertex from the measurement of double differential angular decay rates of single top quarks produced in the t-channel with the ATLAS …,Sara Borroni,2016,34
 collisions with the ATLAS detector,Sara Borroni,2016,32
"Centrality, rapidity, and transverse momentum dependence of isolated prompt photon production in lead-lead collisions at ",Sara Borroni,2016,25
 TeV measured with the …,Sara Borroni,2016,22
Measurements of top-quark pair differential cross-sections in the lepton+jets channel in pp collisions at ,Sara Borroni,2016,19
 decays,Fedor Ratnikov,2019,41
Measurement of total and differential W+ W− production cross sections in proton-proton collisions at ,Sara Borroni,2016,19
Performance of b-jet identification in the ATLAS experiment,Sara Borroni,2016,16
 with the ATLAS …,Sara Borroni,2016,13
Measurement of the differential cross-section of highly boosted top quarks as a function of their transverse momentum in ,Sara Borroni,2016,5
Addendum to ‘Measurement of the tt¯ production cross-section using eμ events with b-tagged jets in pp collisions at s= 7 and 8 TeV with the ATLAS detector’,Sara Borroni,2016,2
 collisions at ,Sara Borroni,2016,2
 collisions at ,Sara Borroni,2016,1
Search for dark matter produced in association with a Higgs boson decaying to two bottom quarks in ,Sara Borroni,2016,1
 with the ATLAS detector,Sara Borroni,2016,1
" (vol 134, 1804.09214, 2018)",Fedor Ratnikov,2019,33
 Masses,Fedor Ratnikov,2019,26
arXiv: Amplitude analysis of B^{+-}-> pi^{+-} K^{+} K^{-} decays,Fedor Ratnikov,2019,25
 decay,Fedor Ratnikov,2019,20
 decays and measurement of the branching fraction of the ,Fedor Ratnikov,2019,18
Search for Lepton-Universality Violation in B+→ K+ ℓ+ ℓ− Decays,Fedor Ratnikov,2019,15
Measurement of the mass difference between neutral charm-meson eigenstates,Fedor Ratnikov,2019,14
A search for ,Fedor Ratnikov,2019,13
B+→J/ψρ+ decays,Fedor Ratnikov,2019,12
Measurement of Upsilon production in pp collisions at root s = 13TeV,Fedor Ratnikov,2019,12
Observation of an Excited Bc+ State,Fedor Ratnikov,2019,11
Observation of an Excited ,Fedor Ratnikov,2019,11
-violating observables of ,Fedor Ratnikov,2019,10
 decays,Fedor Ratnikov,2019,9
 State,Fedor Ratnikov,2019,8
Amplitude analysis of the ,Fedor Ratnikov,2019,8
 decays,Fedor Ratnikov,2019,5
 branching fractions using ,Fedor Ratnikov,2019,5
"Search for CP Violation in Ds+→ KS0π+, D+→ KS0K+, and D+→ ϕπ+ Decays",Fedor Ratnikov,2019,5
Observation of ,Fedor Ratnikov,2019,5
 Decays,Fedor Ratnikov,2019,5
Amplitude analysis of the ,Fedor Ratnikov,2019,4
"Observation of a Narrow Pentaquark State, ",Fedor Ratnikov,2019,3
 → ,Fedor Ratnikov,2019,3
Measurement of the relative ,Fedor Ratnikov,2019,3
 decays,Fedor Ratnikov,2019,3
Search for Lepton-Universality Violation in ,Fedor Ratnikov,2019,3
", and of the Two-Peak Structure of the ",Fedor Ratnikov,2019,2
Observation of CP Violation in Charm Decays,Fedor Ratnikov,2019,2
Measurement of the mixing-induced and ,Fedor Ratnikov,2019,2
-class Classification: an Anomaly Detection Method for Highly Imbalanced or Incomplete Data Sets,Fedor Ratnikov,2019,1
Amplitude analysis of ,Fedor Ratnikov,2019,1
Measurement of the branching fraction and ,Fedor Ratnikov,2019,1
 asymmetry in ,Fedor Ratnikov,2019,1
 mesons from ,Fedor Ratnikov,2019,1
 Decays and Precision Measurements of the ,Fedor Ratnikov,2019,1
 decay,Fedor Ratnikov,2019,1
 decay and measurement of its relative branching fraction relative to the ,Fedor Ratnikov,2019,1
A game theoretic approach to expander-based compressive sensing,Robert Schapire,2011,1118
Exploratory gradient boosting for reinforcement learning in complex domains,Robert Schapire,2016,1101
Using Fixed Points of Amplification Functions,Robert Schapire,2012,556
Open Problem: Does AdaBoost Always Cycle?,Robert Schapire,2012,327
Maxent software for modeling species niches and distributions (Version 3.4. 1),Robert Schapire,2017,199
Compressed learning: Universal sparse dimensionality reduction and learning in the measurement domain,Robert Schapire,2009,192
A New Approach to Unsupervised Learning,Robert Schapire,2014,191
Taming the monster: A fast and simple algorithm for contextual bandits,Robert Schapire,2014,183
Active learning for spoken language understanding,Robert Schapire,2010,150
Lev Reyzin,Robert Schapire,2010,130
Imitation learning with a value-based prior,Robert Schapire,2012,127
A reduction from apprenticeship learning to classification,Robert Schapire,2010,112
Convergence and consistency of regularized boosting with weakly dependent observations,Robert Schapire,2013,110
A contextual-bandit approach to personalized news article recommendation,Robert Schapire,2010,102
Combining spatial and telemetric features for learning animal movement models,Robert Schapire,2012,68
Oracle-efficient online learning and auction design,Robert Schapire,2017,66
A comparative study on feature selection in text categorization.,Robert Schapire,2011,64
Learning with continuous experts using drifting games,Robert Schapire,2008,64
Functional Frank-Wolfe boosting for general loss functions,Robert Schapire,2015,63
Contextual dueling bandits,Robert Schapire,2015,52
Speed and sparsity of regularized boosting,Robert Schapire,2009,51
Emotiv Experimenter. An experimentation and mind-reading application for the Emotiv EPOC,Robert Schapire,2011,47
A drifting-games analysis for online learning and applications to boosting,Robert Schapire,2014,43
The Contextual Bandits Problem: Techniques for Learning to Make High-Reward Decisions,Robert Schapire,2017,32
Oracle-efficient learning and auction design,Robert Schapire,2016,32
Learning with continuous experts using drifting games,Robert Schapire,2010,32
Compressive sensing meets game theory,Robert Schapire,2011,31
Convex risk minimization and conditional probability estimation,Robert Schapire,2015,30
From Optimization to Regret Minimization and Back Again.,Robert Schapire,2008,29
Learning from interactions for a spoken dialog system,Robert Schapire,2017,28
Collaborative place models,Robert Schapire,2015,25
Learning and inference in the presence of corrupted inputs,Robert Schapire,2015,25
Efficient algorithms for adversarial contextual learning,Robert Schapire,2016,22
Learning Binary Relations and Total Orders,Robert Schapire,2014,22
Aneuploidy prediction and tumor classification with heterogeneous hidden conditional random fields,Robert Schapire,2008,22
Learning deep resnet blocks sequentially using boosting theory,Robert Schapire,2017,20
Error-adaptive classifier boosting (EACB): Exploiting data-driven training for highly fault-tolerant hardware,Robert Schapire,2014,20
Affinity weighted embedding,Robert Schapire,2013,20
The rate of convergence of AdaBoost,Robert Schapire,2013,20
Finite-time analysis for the knowledge-gradient policy and a new testing environment for optimal learning,Robert Schapire,2015,19
Voice-enabled dialog system,Robert Schapire,2011,19
The Convergence Rate of AdaBoost.,Robert Schapire,2010,19
Apprenticeship learning using linear programming,Robert Schapire,2008,18
Robust multi-objective learning with mentor feedback,Robert Schapire,2014,17
Non-stochastic bandit slate problems,Robert Schapire,2010,17
On the sample complexity of weak learning,Robert Schapire,2012,16
"Decision-Theoretic Bidding Based on Learned Density Models in Simultaneous, Interacting Auctions",Robert Schapire,2011,16
Tracking Drifting Concepts Using Random Examples David P. Helmbold and Philip M. Long.............................. 13 Investigating the Distribution Assumptions in the Pac …,Robert Schapire,2014,15
Margin-based ranking and an equivalence between AdaBoost and RankBoost,Robert Schapire,2009,15
A Bayesian boosting model,Robert Schapire,2012,13
Learning from interactions for a spoken dialog system,Robert Schapire,2017,10
Towards minimax online learning with unknown time horizon,Robert Schapire,2014,10
Corralling a band of bandit algorithms,Robert Schapire,2016,9
Robust inference for multiclass classification,Robert Schapire,2018,8
On Oracle-Efficient PAC RL with Rich Observations,Robert Schapire,2018,8
Abstract,Robert Schapire,2016,7
Fast convergence of regularized learning in games,Robert Schapire,2015,7
Learning to Rank,Robert Schapire,2012,7
Combining active and semi-supervised learning for spoken language understanding,Robert Schapire,2011,7
Contextual bandit algorithms with supervised learning guarantees,Robert Schapire,2011,7
Infogan: Interpretable representation learning by information maximizing generative adversarial nets,Robert Schapire,2016,6
Advances in Boosting (Invited Talk),Robert Schapire,2012,6
Contextual bandit learning with predictable rewards,Robert Schapire,2012,6
An optimal high probability algorithm for the contextual bandit problem,Robert Schapire,2010,6
Achieving all with no parameters: Adanormalhedge,Robert Schapire,2015,5
Collaborative ranking for local preferences,Robert Schapire,2014,5
Method of handling frequently asked questions in a natural language dialog service,Robert Schapire,2014,5
Haipeng Luo,Robert Schapire,2013,5
Adversarial Bandits with Knapsacks,Robert Schapire,2018,4
On Polynomial Time PAC Reinforcement Learning with Rich Observations.,Robert Schapire,2018,4
Instance-dependent regret bounds for dueling bandits,Robert Schapire,2016,4
Unsupervised domain adaptation using approximate label matching,Robert Schapire,2016,4
Boosting: foundations and algorithms,Robert Schapire,2013,4
Contextual bandits with linear payoff functions,Robert Schapire,2011,4
Maxent software for species habitat modeling,Robert Schapire,2010,4
Reinforcement Learning with Convex Constraints,Robert Schapire,2019,3
Contextual decision processes with low Bellman rank are PAC-learnable,Robert Schapire,2017,3
Method of Handling Frequently Asked Questions in a Natural Language Dialog Service,Robert Schapire,2014,3
Maximum entropy modeling of species geographic distributions,Robert Schapire,2010,3
Boosting,Robert Schapire,2010,3
Practical contextual bandits with regression oracles,Robert Schapire,2018,2
Error adaptive classifier boosting (EACB): Leveraging data-driven training towards hardware resilience for signal inference,Robert Schapire,2015,2
Explaining adaboost,Robert Schapire,2013,2
"Response to Mease and Wyner, Evidence Contrary to the Statistical View of Boosting, JMLR 9: 131–156, 2008",Robert Schapire,2008,2
Opening the black box: an open‐source release of Maxent,Robert Schapire,2017,1
Efficient and parsimonious agnostic active learning,Robert Schapire,2015,1
A theory of multiclass boosting,Robert Schapire,2013,1
Boosting: Foundations and algorithms,Robert Schapire,2012,1
TeV with the ATLAS detector,kamal Benslama,2015,2192
Combined Measurement of the Higgs Boson Mass in ,kamal Benslama,2015,2067
Measurement of the charge asymmetry in dileptonic decays of top quark pairs in pp collisions at ,kamal Benslama,2015,2063
"Search for squarks and gluinos in events with isolated leptons, jets and missing transverse momentum at ",kamal Benslama,2015,2025
 TeV using the ATLAS detector,kamal Benslama,2015,1917
